species,year,decimalLatitude,decimalLongitude
Ariolimax buttoni,2022,37.89728,-122.70987
Ariolimax buttoni,2020,39.331897,-123.784692
Ariolimax buttoni,2022,37.93498,-122.636929
Ariolimax buttoni,2022,38.032908,-122.721855
Ariolimax buttoni,2022,38.042295,-122.87652
Ariolimax buttoni,2022,37.935054,-122.636999
Ariolimax buttoni,2020,37.92477,-122.301865
Ariolimax buttoni,2020,39.259089,-121.034361
Ariolimax buttoni,2020,40.039514,-121.000756
Ariolimax buttoni,2022,37.935737,-122.630377
Ariolimax buttoni,2022,38.091814,-122.872158
Ariolimax buttoni,2021,38.377803,-120.35105
Ariolimax buttoni,2020,37.954094,-122.678362
Ariolimax buttoni,2022,38.034297,-122.801911
Ariolimax buttoni,2020,37.961048,-122.684039
Ariolimax buttoni,2020,37.954098,-122.677336
Ariolimax buttoni,2015,38.468934,-123.016462
Ariolimax buttoni,2021,38.027786,-122.802578
Ariolimax buttoni,2021,38.070389,-122.918381
Ariolimax buttoni,2020,40.046139,-121.019172
Ariolimax buttoni,2005,39.279151,-123.785243
Ariolimax buttoni,2020,37.817545,-122.189014
Ariolimax buttoni,2022,38.036197,-122.803353
Ariolimax buttoni,2022,37.934991,-122.636941
Ariolimax buttoni,2017,38.548029,-123.294591
Ariolimax buttoni,2021,37.887195,-122.62455
Ariolimax buttoni,2022,38.404086,-122.5004
Ariolimax buttoni,2019,37.923205,-122.301867
Ariolimax buttoni,2020,37.911637,-122.569192
Ariolimax buttoni,2020,39.331775,-123.801362
Ariolimax buttoni,2019,37.994814,-122.979137
Ariolimax buttoni,2021,39.276128,-123.774125
Ariolimax buttoni,2021,39.205223,-123.736908
Ariolimax buttoni,2020,39.331465,-123.79671
Ariolimax buttoni,2020,38.066696,-122.920177
Ariolimax buttoni,2020,37.946452,-122.595963
Ariolimax buttoni,2021,38.76418,-123.516739
Ariolimax buttoni,2022,37.911378,-122.571702
Ariolimax buttoni,2021,38.061225,-122.853242
Ariolimax buttoni,2022,38.405612,-123.015922
Ariolimax buttoni,2022,38.257282,-122.226678
Ariolimax buttoni,2020,38.338405,-122.597153
Ariolimax buttoni,2021,37.863606,-122.431984
Ariolimax buttoni,2022,37.902317,-122.262437
Ariolimax buttoni,2022,37.829363,-122.524467
Ariolimax buttoni,2015,38.513123,-122.932332
Ariolimax buttoni,2018,38.412773,-122.690892
Ariolimax buttoni,2021,38.11567,-122.884575
Ariolimax buttoni,2011,38.539383,-123.004823
Ariolimax buttoni,2019,37.909661,-122.264708
Ariolimax buttoni,2022,37.903413,-122.615825
Ariolimax buttoni,2022,38.693347,-123.428475
Ariolimax buttoni,2022,38.025183,-122.729163
Ariolimax buttoni,2020,37.893549,-122.572612
Ariolimax buttoni,2020,37.936522,-122.637827
Ariolimax buttoni,2020,39.377401,-123.814647
Ariolimax buttoni,2019,38.573053,-123.295075
Ariolimax buttoni,2022,37.892409,-122.570102
Ariolimax buttoni,2020,39.29642,-123.792527
Ariolimax buttoni,2020,38.402081,-122.504023
Ariolimax buttoni,2018,37.901997,-122.605637
Ariolimax buttoni,2018,37.793853,-122.173613
Ariolimax buttoni,2020,37.822422,-122.179497
Ariolimax buttoni,2021,39.35815,-123.813203
Ariolimax buttoni,2022,39.597938,-120.797214
Ariolimax buttoni,2022,39.330993,-123.762216
Ariolimax buttoni,2020,37.205004,-121.989919
Ariolimax buttoni,2020,37.89895,-122.571975
Ariolimax buttoni,2020,37.82312,-122.181563
Ariolimax buttoni,2022,38.001832,-122.76905
Ariolimax buttoni,2018,38.470433,-123.050025
Ariolimax buttoni,2022,39.37478,-123.811756
Ariolimax buttoni,2020,37.897548,-122.252441
Ariolimax buttoni,2020,38.566497,-120.435395
Ariolimax buttoni,2020,37.872403,-122.240722
Ariolimax buttoni,2020,37.194983,-119.253913
Ariolimax buttoni,2020,39.56292,-120.662886
Ariolimax buttoni,2015,38.438533,-123.094549
Ariolimax buttoni,2021,39.16349,-123.568187
Ariolimax buttoni,2016,38.340196,-122.598143
Ariolimax buttoni,2022,37.863612,-122.43195
Ariolimax buttoni,2019,39.274217,-123.744187
Ariolimax buttoni,2020,37.898406,-122.252516
Ariolimax buttoni,2022,38.003989,-122.699172
Ariolimax buttoni,2020,39.187704,-123.719651
Ariolimax buttoni,2022,38.440261,-122.524894
Ariolimax buttoni,2020,39.271466,-123.727652
Ariolimax buttoni,2022,39.235455,-123.39618
Ariolimax buttoni,2022,38.591603,-123.331275
Ariolimax buttoni,2020,38.548337,-123.294357
Ariolimax buttoni,2020,39.581711,-123.761278
Ariolimax buttoni,2022,37.974728,-122.700403
Ariolimax buttoni,2020,37.898916,-122.576267
Ariolimax buttoni,2021,38.576752,-122.690715
Ariolimax buttoni,2020,38.729263,-123.459288
Ariolimax buttoni,2017,38.376388,-122.976897
Ariolimax buttoni,2020,37.901403,-122.636274
Ariolimax buttoni,2022,37.191422,-119.261637
Ariolimax buttoni,2022,39.073329,-123.435568
Ariolimax buttoni,2020,37.893982,-122.576324
Ariolimax buttoni,2020,37.895096,-122.246439
Ariolimax buttoni,2022,37.798375,-122.159325
Ariolimax buttoni,2022,38.537003,-123.006325
Ariolimax buttoni,2020,39.331733,-123.801317
Ariolimax buttoni,2020,39.473862,-123.798058
Ariolimax buttoni,2021,39.328728,-123.773003
Ariolimax buttoni,2020,37.923206,-122.301819
Ariolimax buttoni,2022,37.90732,-122.558167
Ariolimax buttoni,2022,38.392905,-122.934517
Ariolimax buttoni,2022,38.415182,-123.028237
Ariolimax buttoni,2020,37.878728,-122.577238
Ariolimax buttoni,2020,37.943209,-122.129576
Ariolimax buttoni,2022,37.915781,-122.541333
Ariolimax buttoni,2022,37.863989,-122.526011
Ariolimax buttoni,2022,39.488147,-123.773567
Ariolimax buttoni,2022,37.896347,-122.5644
Ariolimax buttoni,2016,38.407087,-122.919722
Ariolimax buttoni,2020,37.971405,-122.5792
Ariolimax buttoni,2022,37.900928,-122.583283
Ariolimax buttoni,2022,38.414233,-122.95678
Ariolimax buttoni,2022,36.950767,-121.846397
Ariolimax buttoni,2022,38.053478,-122.837093
Ariolimax buttoni,2021,38.037389,-122.694375
Ariolimax buttoni,2022,37.89338,-122.548072
Ariolimax buttoni,2022,37.959095,-122.7856
Ariolimax buttoni,2022,37.186194,-121.97895
Ariolimax buttoni,2022,37.084497,-121.792765
